iso3_epoch,iso3,epoch,mts_pca_3feat_mean,mts_milex_mean,part_n_war_mean,part_n_minor_mean,war_minor_ratio_mean,extraterritorial_share_mean,vdem_v2x_polyarchy_mean,conflict_active_pct,log_brd_mean
GAB_2000s,GAB,2000s,0.150277413932605,0.37207398263732105,0.0,0.0,0.12857142857142856,1.0,0.34619999999999995,0.0,0.0
GAB_2010s,GAB,2010s,0.17441730902634284,0.403990143701923,0.0,0.6,0.0,1.2,0.37629999999999997,0.5,0.0
GAB_2020s,GAB,2020s,0.17345768822849245,0.40993457185340204,0.0,1.0,0.0,1.6666666666666667,0.32999999999999996,0.6,0.0
GBR_1990s,GBR,1990s,0.43488960705464197,0.799984284861259,0.18181818181818182,0.36363636363636365,0.3,0.3,0.8151818181818181,0.45454545454545453,2.5993170009657445
GBR_2000s,GBR,2000s,0.4328950867878979,0.8047201276775032,1.5,2.3,0.37666666666666665,1.45,0.8618,1.0,0.0
GBR_2010s,GBR,2010s,0.43114990739526904,0.8042573915148955,0.9,2.8,0.2542857142857143,1.375,0.8627,1.0,0.0
GBR_2020s,GBR,2020s,0.4428573538555624,0.810472170524932,0.2,2.6,0.06666666666666667,1.0,0.8512000000000001,1.0,0.0
GEO_1990s,GEO,1990s,0.16708937504739768,0.3257846658160499,0.09090909090909091,0.45454545454545453,0.16666666666666666,0.0,0.3496,0.2727272727272727,5.464216938864378
GEO_2000s,GEO,2000s,0.2268088038169745,0.39538016747586874,0.8,1.3,0.38611111111111107,2.4722222222222223,0.4687,0.6,4.186619838331271
GEO_2010s,GEO,2010s,0.19009574997862067,0.44003585927783756,0.5,0.3,0.7,1.6,0.6125,0.5,0.0
GEO_2020s,GEO,2020s,0.1754626897025687,0.441850195386558,0.0,0.0,0.12857142857142856,1.0,0.5795999999999999,0.0,0.0
GHA_1990s,GHA,1990s,0.12100528127699381,0.2701139893902955,0.09090909090909091,0.09090909090909091,0.5,2.0,0.38190909090909086,0.09090909090909091,0.0
GHA_2000s,GHA,2000s,0.1424092593895908,0.3044459551195758,0.0,0.0,0.12857142857142856,1.0,0.7264,0.0,0.0
GHA_2010s,GHA,2010s,0.188747899201437,0.3784515428617676,0.7,2.5,0.3041666666666667,1.3854166666666667,0.7445,0.8,0.0
GHA_2020s,GHA,2020s,0.19350801009833904,0.4021747876107085,1.2,3.2,0.31333333333333335,1.09,0.6724,1.0,0.0
GIN_1990s,GIN,1990s,0.13669808647768217,0.3591911821447433,0.2727272727272727,1.0909090909090908,0.17592592592592593,1.2777777777777777,0.19763636363636364,0.8181818181818182,0.0
GIN_2000s,GIN,2000s,0.18093767120553655,0.40774033228790574,0.0,0.2,0.0,0.0,0.2637,0.2,4.188138441508461
GIN_2010s,GIN,2010s,0.1761492905722791,0.4296680352842687,0.0,2.3,0.0,1.8571428571428572,0.3423,0.7,0.0
GIN_2020s,GIN,2020s,0.1708110214195243,0.4412890787597781,0.2,3.0,0.06666666666666667,1.1333333333333333,0.21059999999999998,1.0,0.0
GMB_1990s,GMB,1990s,0.041794017909172664,0.10228452247364674,0.0,0.0,0.12857142857142856,1.0,0.31936363636363635,0.0,0.0
GMB_2000s,GMB,2000s,0.05593127159906479,0.1271949818920269,0.0,0.0,0.12857142857142856,1.0,0.252,0.0,0.0
GMB_2010s,GMB,2010s,0.07272509512729565,0.20595644219527445,0.0,1.7,0.0,1.4,0.327,0.5,0.0
GMB_2020s,GMB,2020s,0.07659772881575957,0.20470284131315797,0.2,3.0,0.06666666666666667,1.1333333333333333,0.5778000000000001,1.0,0.0
GNB_1990s,GNB,1990s,0.045441654152137134,0.1282272234510458,0.0,0.18181818181818182,0.0,0.0,0.2387272727272727,0.18181818181818182,4.174387269895637
GNB_2000s,GNB,2000s,0.07335899899399627,0.19990978113420219,0.0,0.0,0.12857142857142856,1.0,0.4236,0.0,0.0
